Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
AUS,2007 ,41023.75,20827622.0,2.33,4.38,42.04
AUS,2008 ,49679.18,21249199.0,4.35,4.23,42.86
AUS,2009 ,42810.33,21691653.0,1.77,5.56,45.75
AUS,2010 ,52134.31,22031750.0,2.92,5.21,40.52
AUS,2011 ,62596.43,22340024.0,3.3,5.08,41.84
AUS,2012 ,68044.71,22733465.0,1.76,5.22,43.17
AUS,2013 ,68158.58,23128129.0,2.45,5.66,41.27
AUS,2014 ,62513.41,23475686.0,2.49,6.08,42.47
AUS,2015 ,56710.45,23815995.0,1.51,6.05,41.62
AUS,2016 ,49875.57,24190907.0,1.28,5.71,40.82
AUS,2017 ,53936.14,24594202.0,1.95,5.59,41.95
AUS,2018 ,57207.87,24966643.0,1.91,5.3,43.39
AUS,2019 ,54941.43,25340217.0,1.61,5.16,45.83
AUS,2020 ,51720.37,25655289.0,0.85,6.46,44.23
AUS,2021 ,60443.11,25688079.0,2.86,5.12,39.87
