Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
AUT,2007 ,46915.34,8295487.0,2.17,4.86,100.73
AUT,2008 ,51919.98,8321496.0,3.22,4.13,102.07
AUT,2009 ,48153.32,8343323.0,0.51,5.3,87.06
AUT,2010 ,46903.76,8363404.0,1.81,4.82,99.02
AUT,2011 ,51442.28,8391643.0,3.29,4.56,105.1
AUT,2012 ,48564.92,8429991.0,2.49,4.87,105.15
AUT,2013 ,50731.13,8479823.0,2.0,5.34,104.07
AUT,2014 ,51786.38,8546356.0,1.61,5.62,103.5
AUT,2015 ,44195.82,8642699.0,0.9,5.72,102.43
AUT,2016 ,45307.59,8736668.0,0.89,6.01,100.98
AUT,2017 ,47429.16,8797566.0,2.08,5.5,104.94
AUT,2018 ,51466.56,8840521.0,2.0,4.85,107.92
AUT,2019 ,50070.4,8879920.0,1.53,4.49,107.89
AUT,2020 ,48809.23,8916864.0,1.38,5.36,100.22
AUT,2021 ,53637.71,8955797.0,2.77,6.18,111.22
