Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BHR,2007 ,20883.55,1040532.0,3.26,1.09,137.79
BHR,2008 ,23155.82,1110343.0,3.53,1.11,145.88
BHR,2009 ,19448.18,1179453.0,2.8,1.14,117.96
BHR,2010 ,21186.81,1213645.0,1.96,1.13,120.47
BHR,2011 ,23741.56,1212077.0,-0.4,1.18,174.16
BHR,2012 ,25102.73,1224939.0,2.76,1.2,185.88
BHR,2013 ,25790.73,1261673.0,3.3,1.18,191.87
BHR,2014 ,25464.76,1311134.0,2.65,1.18,175.57
BHR,2015 ,22795.45,1362142.0,1.85,1.2,154.93
BHR,2016 ,22867.18,1409661.0,2.79,1.18,139.62
BHR,2017 ,24349.91,1456834.0,1.39,1.17,143.09
BHR,2018 ,25415.85,1487340.0,2.09,1.18,150.81
BHR,2019 ,25869.11,1494188.0,1.01,1.18,141.7
BHR,2020 ,23501.92,1477469.0,-2.32,1.67,139.81
BHR,2021 ,26562.96,1463265.0,-0.60,1.53,0.0
