Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BIH,2007 ,3936.94,4007876.0,1.5,28.98,83.55
BIH,2008 ,4846.78,3943392.0,7.43,23.41,86.16
BIH,2009 ,4542.28,3877750.0,-0.38,24.07,73.75
BIH,2010 ,4507.05,3811088.0,2.0,27.31,80.97
BIH,2011 ,4981.04,3743142.0,3.67,27.58,87.84
BIH,2012 ,4688.38,3674374.0,2.05,28.01,88.15
BIH,2013 ,5025.07,3617559.0,-0.09,27.49,87.93
BIH,2014 ,5196.86,3571068.0,-0.9,27.52,90.55
BIH,2015 ,4599.9,3524324.0,-1.04,27.69,89.34
BIH,2016 ,4858.78,3480986.0,-1.58,25.41,89.31
BIH,2017 ,5255.81,3440027.0,0.81,20.53,97.96
BIH,2018 ,5936.1,3400129.0,1.42,18.4,99.9
BIH,2019 ,6011.37,3360711.0,0.56,15.69,95.83
BIH,2020 ,6012.06,3318407.0,-1.05,15.26,83.24
BIH,2021 ,7143.31,3270943.0,1.98,14.9,97.23
