Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BGR,2007 ,5888.78,7545338.0,8.4,6.88,123.53
BGR,2008 ,7271.4,7492561.0,12.35,5.61,124.69
BGR,2009 ,6988.23,7444443.0,2.75,6.82,92.69
BGR,2010 ,6853.0,7395599.0,2.44,10.28,103.41
BGR,2011 ,7849.17,7348328.0,4.22,11.26,117.46
BGR,2012 ,7432.48,7305888.0,2.95,12.27,123.99
BGR,2013 ,7681.93,7265115.0,0.89,12.94,129.73
BGR,2014 ,7901.79,7223938.0,-1.42,11.42,130.29
BGR,2015 ,7074.68,7177991.0,-0.1,9.14,126.7
BGR,2016 ,7569.48,7127822.0,-0.8,7.57,122.83
BGR,2017 ,8366.29,7075947.0,2.06,6.16,129.68
BGR,2018 ,9446.72,7025037.0,2.81,5.21,128.85
BGR,2019 ,9879.33,6975761.0,3.1,4.23,124.64
BGR,2020 ,10129.81,6934015.0,1.67,5.12,110.28
BGR,2021 ,12221.5,6877743.0,3.3,5.27,120.97
