Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BDI,2007 ,170.71,7944609.0,8.41,2.42,38.8
BDI,2008 ,194.71,8278109.0,24.41,1.63,47.2
BDI,2009 ,204.54,8709366.0,10.56,1.62,35.8
BDI,2010 ,222.66,9126605.0,6.49,1.61,39.5
BDI,2011 ,236.45,9455733.0,9.59,1.6,43.0
BDI,2012 ,238.21,9795479.0,18.16,1.59,43.71
BDI,2013 ,241.55,10149577.0,7.94,1.58,46.6
BDI,2014 ,257.82,10494913.0,4.41,1.57,43.0
BDI,2015 ,289.36,10727148.0,5.54,1.48,22.84
BDI,2016 ,242.07,10903327.0,5.56,1.32,23.04
BDI,2017 ,243.14,11155593.0,16.05,1.17,22.24
BDI,2018 ,231.45,11493472.0,-2.81,1.02,26.6
BDI,2019 ,216.97,11874838.0,-0.69,0.87,29.03
BDI,2020 ,216.83,12220227.0,7.32,1.03,26.77
BDI,2021 ,221.48,12551213.0,8.4,1.13,28.82
