Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
CHN,2007 ,2693.97,1317885000.0,4.82,4.35,62.19
CHN,2008 ,3468.3,1324655000.0,5.93,4.59,57.61
CHN,2009 ,3832.24,1331260000.0,-0.73,4.72,45.18
CHN,2010 ,4550.45,1337705000.0,3.18,4.53,50.72
CHN,2011 ,5614.35,1345035000.0,5.55,4.55,50.74
CHN,2012 ,6300.62,1354190000.0,2.62,4.58,48.27
CHN,2013 ,7020.34,1363240000.0,2.62,4.6,46.74
CHN,2014 ,7636.12,1371860000.0,1.92,4.63,44.91
CHN,2015 ,8016.43,1379860000.0,1.44,4.65,39.46
CHN,2016 ,8094.36,1387790000.0,2.0,4.56,36.89
CHN,2017 ,8816.99,1396215000.0,1.59,4.47,37.63
CHN,2018 ,9905.34,1402760000.0,2.07,4.31,37.57
CHN,2019 ,10143.84,1407745000.0,2.9,4.56,35.89
CHN,2020 ,10408.67,1411100000.0,2.42,5.0,34.75
CHN,2021 ,12556.33,1412360000.0,0.98,4.55,37.47
