Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
COM,2007 ,1289.79,616899.0,4.47,5.66,33.16
COM,2008 ,1454.65,629470.0,1.7,5.97,36.22
COM,2009 ,1409.11,642493.0,4.36,6.34,37.9
COM,2010 ,1384.06,656024.0,3.35,6.69,39.55
COM,2011 ,1526.83,670071.0,1.84,7.04,40.0
COM,2012 ,1483.95,684553.0,6.31,7.41,40.81
COM,2013 ,1595.99,699393.0,-4.29,7.74,39.24
COM,2014 ,1609.0,714612.0,0.0,8.14,39.23
COM,2015 ,1323.0,730216.0,0.0,8.14,37.81
COM,2016 ,1357.27,746232.0,0.0,8.082,37.13
COM,2017 ,1414.59,761664.0,0.0,8.056,40.16
COM,2018 ,1531.34,776313.0,0.0,8.043,43.0
COM,2019 ,1510.80,790986.0,0.0,8.063,42.3
COM,2020 ,1519.6,806166.0,0.0,9.032,33.7
COM,2021 ,1577.5,821625.0,0.0,8.979,42.3
