Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
FIN,2007 ,4.85,5288720.0,2.51,6.85,82.86
FIN,2008 ,0.32,5313399.0,4.07,6.37,86.18
FIN,2009 ,-8.51,5338871.0,-0.0,8.25,70.12
FIN,2010 ,2.71,5363352.0,1.18,8.39,75.46
FIN,2011 ,2.07,5388272.0,3.42,7.78,78.58
FIN,2012 ,-1.87,5413971.0,2.81,7.69,79.17
FIN,2013 ,-1.36,5438972.0,1.48,8.19,77.09
FIN,2014 ,-0.78,5461512.0,1.04,8.66,74.11
FIN,2015 ,0.21,5479531.0,-0.21,9.38,71.38
FIN,2016 ,2.52,5495303.0,0.36,8.82,70.9
FIN,2017 ,2.95,5508214.0,0.75,8.64,75.05
FIN,2018 ,1.01,5515525.0,1.08,7.36,78.19
FIN,2019 ,1.11,5521606.0,1.02,6.69,79.61
FIN,2020 ,-2.35,5529543.0,0.29,7.76,71.63
FIN,2021 ,2.76,5541017.0,2.19,7.61,78.6
