Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GAB,2007 ,8036.92,1549774.0,5.03,18.27,85.13
GAB,2008 ,9732.23,1599978.0,5.26,19.19,89.0
GAB,2009 ,7325.91,1653542.0,1.89,19.83,83.5
GAB,2010 ,8399.6,1711105.0,1.46,20.39,89.16
GAB,2011 ,10273.8,1772500.0,1.26,20.42,90.5
GAB,2012 ,9348.52,1836705.0,2.65,20.49,92.34
GAB,2013 ,9250.08,1902226.0,0.51,20.51,90.64
GAB,2014 ,9255.37,1966855.0,4.69,20.56,73.52
GAB,2015 ,7090.45,2028517.0,-0.34,20.6,73.95
GAB,2016 ,6722.2,2086206.0,2.11,20.67,70.13
GAB,2017 ,6975.7,2140215.0,2.65,20.73,75.07
GAB,2018 ,7694.91,2192012.0,4.75,20.75,77.04
GAB,2019 ,7523.86,2242785.0,2.46,20.7,73.43
GAB,2020 ,6680.08,2292573.0,1.35,21.73,70.06
GAB,2021 ,8635.33,2341179.0,1.09,21.84,72.65
