Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GEO,2007 ,13.17,3860158.0,9.24,13.28,88.39
GEO,2008 ,2.73,3848449.0,10.0,17.87,86.3
GEO,2009 ,-2.79,3814419.0,1.73,20.71,78.19
GEO,2010 ,7.03,3786695.0,7.11,20.2,82.9
GEO,2011 ,8.26,3756441.0,8.54,19.63,87.55
GEO,2012 ,7.16,3728874.0,-0.94,19.65,91.94
GEO,2013 ,3.93,3717668.0,-0.51,19.42,95.6
GEO,2014 ,4.38,3719414.0,3.07,17.44,96.77
GEO,2015 ,2.86,3725276.0,4.0,16.51,98.77
GEO,2016 ,2.84,3727505.0,2.13,16.6,96.83
GEO,2017 ,4.83,3728004.0,6.04,13.94,104.04
GEO,2018 ,4.88,3726549.0,2.62,12.67,111.76
GEO,2019 ,5.16,3720161.0,4.85,11.57,118.6
GEO,2020 ,-6.82,3722716.0,5.2,11.73,93.88
GEO,2021 ,10.89,3708610.0,9.57,12.21,102.82
