Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GHA,2007 ,1047.22,23708320.0,10.73,4.86,65.35
GHA,2008 ,1178.93,24326087.0,16.49,4.97,69.51
GHA,2009 ,1043.98,24950762.0,19.25,5.24,71.59
GHA,2010 ,1258.95,25574719.0,10.73,5.38,75.38
GHA,2011 ,1501.08,26205941.0,8.73,4.22,86.3
GHA,2012 ,1536.59,26858762.0,11.19,3.22,93.17
GHA,2013 ,2282.35,27525597.0,11.67,2.17,60.76
GHA,2014 ,1942.91,28196358.0,15.49,4.5,63.84
GHA,2015 ,1711.29,28870939.0,17.15,6.81,76.52
GHA,2016 ,1900.41,29554303.0,17.45,5.11,67.88
GHA,2017 ,1998.74,30222262.0,12.37,3.37,70.55
GHA,2018 ,2180.04,30870641.0,7.81,3.43,67.96
GHA,2019 ,2167.91,31522290.0,7.14,3.46,76.82
GHA,2020 ,2176.58,32180401.0,9.89,3.77,38.52
GHA,2021 ,2363.3,32833031.0,9.97,3.92,58.43
