Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GRC,2007 ,28863.97,11048473.0,2.9,8.4,57.52
GRC,2008 ,32127.98,11077841.0,4.15,7.76,59.33
GRC,2009 ,29828.76,11107017.0,1.21,9.62,47.74
GRC,2010 ,26716.65,11121341.0,4.71,12.71,51.2
GRC,2011 ,25483.88,11104899.0,3.33,17.86,56.83
GRC,2012 ,21913.0,11045011.0,1.5,24.44,62.06
GRC,2013 ,21787.79,10965211.0,-0.92,27.47,62.88
GRC,2014 ,21616.71,10892413.0,-1.31,26.49,66.53
GRC,2015 ,18083.88,10820883.0,-1.74,24.9,65.28
GRC,2016 ,17923.97,10775971.0,-0.83,23.54,64.02
GRC,2017 ,18582.09,10754679.0,1.12,21.49,71.58
GRC,2018 ,19756.99,10732882.0,0.63,19.29,80.15
GRC,2019 ,19144.28,10721582.0,0.25,17.31,81.88
GRC,2020 ,17658.95,10698599.0,-1.25,16.31,71.67
GRC,2021 ,20192.6,10641221.0,1.22,14.71,89.46
