Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GRL,2007 ,39780.95,56555.0,0.0,0.0,94.96
GRL,2008 ,44367.05,56328.0,0.0,0.0,107.37
GRL,2009 ,44918.56,56323.0,0.0,0.0,85.75
GRL,2010 ,43988.33,56905.0,0.0,0.0,110.47
GRL,2011 ,47186.98,56890.0,0.0,0.0,130.54
GRL,2012 ,45936.76,56810.0,0.0,0.0,100.97
GRL,2013 ,47535.58,56483.0,0.0,0.0,95.91
GRL,2014 ,50484.92,56295.0,0.0,0.0,87.08
GRL,2015 ,44536.40,56114.0,0.0,0.0,83.10
GRL,2016 ,48181.87,56186.0,0.0,0.0,85.83
GRL,2017 ,50766.59,56171.0,0.0,0.0,84.20
GRL,2018 ,54545.29,56023.0,0.0,0.0,89.77
GRL,2019 ,53256.24,56225.0,0.0,0.0,92.28
GRL,2020 ,54571.20,56367.0,0.0,0.0,85.19
GRL,2021 ,0.0,56653.0,0.0,0.0,0.0
