Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ISL,2007 ,69495.73,311566.0,5.05,2.25,74.67
ISL,2008 ,56943.37,317414.0,12.69,2.95,82.69
ISL,2009 ,41301.27,318499.0,12.0,7.22,89.39
ISL,2010 ,43237.07,318041.0,5.4,7.56,93.65
ISL,2011 ,47714.59,319014.0,4.0,7.03,101.41
ISL,2012 ,45995.55,320716.0,5.19,6.0,104.09
ISL,2013 ,49804.98,323764.0,3.87,5.38,98.79
ISL,2014 ,54576.74,327386.0,2.04,4.9,96.67
ISL,2015 ,52951.68,330815.0,1.63,3.98,95.82
ISL,2016 ,61987.93,335439.0,1.7,2.98,88.33
ISL,2017 ,72010.15,343400.0,1.76,2.74,86.98
ISL,2018 ,74461.48,352721.0,2.68,2.7,89.96
ISL,2019 ,68853.72,360563.0,3.01,3.51,84.21
ISL,2020 ,59200.18,366463.0,2.85,5.48,69.46
ISL,2021 ,68727.64,372520.0,4.44,6.02,78.18
