Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
IND,2007 ,1022.73,1189691809.0,6.37,8.54,45.69
IND,2008 ,993.5,1206734806.0,8.35,8.35,53.37
IND,2009 ,1096.63,1223640160.0,10.88,8.38,46.27
IND,2010 ,1350.63,1240613620.0,11.99,8.32,49.26
IND,2011 ,1449.6,1257621191.0,8.91,8.17,55.62
IND,2012 ,1434.02,1274487215.0,9.48,8.1,55.79
IND,2013 ,1438.06,1291132063.0,10.02,8.04,53.84
IND,2014 ,1559.86,1307246509.0,6.67,7.98,48.92
IND,2015 ,1590.17,1322866505.0,4.91,7.91,41.92
IND,2016 ,1714.28,1338636340.0,4.95,7.84,40.08
IND,2017 ,1957.97,1354195680.0,3.33,7.73,40.74
IND,2018 ,1974.38,1369003306.0,3.94,7.65,43.62
IND,2019 ,2047.23,1383112050.0,3.73,6.51,39.96
IND,2020 ,1910.42,1396387127.0,6.62,10.19,37.81
IND,2021 ,2256.59,1407563842.0,5.13,7.71,45.29
