Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
IDN,2007 ,1840.33,234858289.0,6.41,8.06,54.83
IDN,2008 ,2144.39,237936543.0,10.23,7.21,58.56
IDN,2009 ,2239.1,240981299.0,4.39,6.11,45.51
IDN,2010 ,3094.44,244016173.0,5.13,5.61,46.7
IDN,2011 ,3613.8,247099697.0,5.36,5.15,50.18
IDN,2012 ,3668.21,250222695.0,4.28,4.47,49.58
IDN,2013 ,3602.89,253275918.0,6.41,4.34,48.64
IDN,2014 ,3476.62,256229761.0,6.39,4.05,48.08
IDN,2015 ,3322.58,259091970.0,6.36,4.51,41.94
IDN,2016 ,3558.82,261850182.0,3.53,4.3,37.42
IDN,2017 ,3839.79,264498852.0,3.81,3.78,39.36
IDN,2018 ,3902.66,267066843.0,3.2,4.39,43.07
IDN,2019 ,4151.23,269582878.0,3.03,3.59,37.63
IDN,2020 ,3894.27,271857970.0,1.92,4.25,32.98
IDN,2021 ,4332.71,273753191.0,1.56,3.83,40.42
