Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
IRL,2007 ,61396.42,4398942.0,4.9,4.98,153.4
IRL,2008 ,61353.11,4489544.0,4.06,6.77,160.04
IRL,2009 ,52133.09,4535375.0,-4.48,12.61,173.59
IRL,2010 ,48663.6,4560155.0,-0.92,14.53,189.93
IRL,2011 ,52183.13,4580084.0,2.56,15.35,187.84
IRL,2012 ,49054.7,4599533.0,1.7,15.45,191.45
IRL,2013 ,51546.35,4623816.0,0.51,13.73,189.24
IRL,2014 ,55643.06,4657740.0,0.18,11.86,202.24
IRL,2015 ,62053.98,4701957.0,-0.29,9.91,215.43
IRL,2016 ,62895.91,4755335.0,0.01,8.37,227.74
IRL,2017 ,69970.95,4807388.0,0.34,6.71,220.0
IRL,2018 ,79250.39,4867316.0,0.49,5.74,217.08
IRL,2019 ,80927.07,4934340.0,0.94,4.95,252.25
IRL,2020 ,85420.19,4985382.0,-0.33,5.62,247.77
IRL,2021 ,100172.08,5033165.0,2.36,6.19,229.45
