Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
JPN,2007 ,35779.02,128001000.0,0.06,3.89,32.82
JPN,2008 ,39876.3,128063000.0,1.38,4.0,34.13
JPN,2009 ,41309.0,128047000.0,-1.35,5.07,24.39
JPN,2010 ,44968.16,128070000.0,-0.73,5.1,28.5
JPN,2011 ,48760.08,127833000.0,-0.27,4.55,30.19
JPN,2012 ,49145.28,127629000.0,-0.04,4.36,30.47
JPN,2013 ,40898.65,127445000.0,0.34,4.04,33.98
JPN,2014 ,38475.4,127276000.0,2.76,3.59,37.43
JPN,2015 ,34960.64,127141000.0,0.8,3.39,35.43
JPN,2016 ,39375.47,127076000.0,-0.13,3.13,31.31
JPN,2017 ,38834.05,126972000.0,0.48,2.82,34.42
JPN,2018 ,39727.12,126811000.0,0.99,2.47,36.63
JPN,2019 ,40458.0,126633000.0,0.47,2.35,35.18
JPN,2020 ,39918.17,126261000.0,-0.02,2.8,31.36
JPN,2021 ,39312.66,125681593.0,-0.23,2.8,37.38
