Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
KAZ,2007 ,6771.41,15484192.0,10.85,7.26,92.16
KAZ,2008 ,8458.02,15776938.0,17.14,6.63,94.29
KAZ,2009 ,7165.22,16092822.0,7.32,6.55,75.77
KAZ,2010 ,9070.49,16321872.0,7.4,5.77,74.14
KAZ,2011 ,11634.0,16557202.0,8.42,5.39,73.12
KAZ,2012 ,12386.7,16792090.0,5.1,5.29,73.72
KAZ,2013 ,13890.63,17035551.0,5.85,5.2,65.41
KAZ,2014 ,12807.26,17288285.0,6.71,5.06,64.97
KAZ,2015 ,10510.77,17542806.0,6.67,4.93,53.05
KAZ,2016 ,7714.84,17794055.0,14.55,4.96,60.31
KAZ,2017 ,9247.58,18037776.0,7.44,4.9,56.83
KAZ,2018 ,9812.63,18276452.0,6.02,4.85,63.53
KAZ,2019 ,9812.6,18513673.0,5.25,4.8,64.86
KAZ,2020 ,9121.64,18755666.0,6.77,4.89,57.03
KAZ,2021 ,10373.79,19000988.0,8.04,5.16,57.54
