Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
KWT,2007 ,-0.07,2506769.0,5.48,1.5,91.73
KWT,2008 ,-3.09,2650930.0,10.58,1.75,92.68
KWT,2009 ,-11.88,2795550.0,4.61,1.64,88.81
KWT,2010 ,-7.27,2943356.0,4.5,1.82,97.03
KWT,2011 ,2.64,3143825.0,4.84,2.03,99.09
KWT,2012 ,-1.25,3394663.0,3.26,2.32,101.01
KWT,2013 ,-5.84,3646518.0,2.68,2.62,97.61
KWT,2014 ,-2.57,3761584.0,2.91,2.9,100.04
KWT,2015 ,-3.19,3908743.0,3.27,2.2,98.7
KWT,2016 ,-0.62,4048085.0,3.2,2.16,96.16
KWT,2017 ,-6.49,4124904.0,2.17,2.2,97.84
KWT,2018 ,-2.13,4317185.0,0.54,2.16,103.12
KWT,2019 ,-3.33,4441100.0,1.09,2.16,98.18
KWT,2020 ,-7.17,4360444.0,2.1,3.33,0.0
KWT,2021 ,0.0,4250114.0,3.42,2.82,0.0
