Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
MEX,2007 ,9719.92,108302973.0,3.97,3.63,56.8
MEX,2008 ,10119.84,109684489.0,5.12,3.87,57.78
MEX,2009 ,8104.91,111049428.0,5.3,5.36,55.97
MEX,2010 ,9399.97,112532401.0,4.16,5.3,60.76
MEX,2011 ,10341.52,114150481.0,3.41,5.17,63.47
MEX,2012 ,10376.06,115755909.0,4.11,4.89,65.77
MEX,2013 ,10865.68,117290686.0,3.81,4.91,63.76
MEX,2014 ,11076.09,118755887.0,4.02,4.81,64.93
MEX,2015 ,9753.38,120149897.0,2.72,4.31,71.09
MEX,2016 ,8875.06,121519221.0,2.82,3.86,76.06
MEX,2017 ,9434.39,122839258.0,6.04,3.42,77.12
MEX,2018 ,9857.03,124013861.0,4.9,3.27,80.56
MEX,2019 ,10145.17,125085311.0,3.64,3.48,77.9
MEX,2020 ,8655.0,125998302.0,3.4,4.45,76.9
MEX,2021 ,10045.68,126705138.0,5.69,4.09,83.62
