Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
NLD,2007 ,3.55,16381696.0,1.61,4.15,130.46
NLD,2008 ,1.77,16445593.0,2.49,3.65,131.06
NLD,2009 ,-4.16,16530388.0,1.19,4.35,116.89
NLD,2010 ,0.82,16615394.0,1.28,4.99,131.52
NLD,2011 ,1.08,16693074.0,2.34,4.98,142.47
NLD,2012 ,-1.4,16754962.0,2.46,5.82,149.27
NLD,2013 ,-0.42,16804432.0,2.51,7.24,149.55
NLD,2014 ,1.06,16865008.0,0.98,7.42,150.05
NLD,2015 ,1.51,16939923.0,0.6,6.87,157.82
NLD,2016 ,1.65,17030314.0,0.32,6.01,148.86
NLD,2017 ,2.3,17131296.0,1.38,4.84,156.03
NLD,2018 ,1.76,17231624.0,1.7,3.83,158.82
NLD,2019 ,1.29,17344874.0,2.63,3.38,155.27
NLD,2020 ,-4.42,17441500.0,1.27,3.82,146.46
NLD,2021 ,4.32,17533044.0,2.68,4.21,155.7
