Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
PRT,2007 ,2.31,10542964.0,2.45,7.97,69.95
PRT,2008 ,0.17,10558177.0,2.59,7.55,72.08
PRT,2009 ,-3.21,10568247.0,-0.84,9.43,61.49
PRT,2010 ,1.69,10573100.0,1.4,10.77,67.78
PRT,2011 ,-1.55,10557560.0,3.65,12.68,73.1
PRT,2012 ,-3.67,10514844.0,2.77,15.53,76.05
PRT,2013 ,-0.38,10457295.0,0.27,16.19,78.11
PRT,2014 ,1.34,10401062.0,-0.28,13.9,80.28
PRT,2015 ,2.21,10358076.0,0.49,12.45,80.49
PRT,2016 ,2.34,10325452.0,0.61,11.07,79.27
PRT,2017 ,3.76,10300300.0,1.37,8.87,84.44
PRT,2018 ,3.01,10283822.0,0.99,6.99,86.43
PRT,2019 ,2.66,10286263.0,0.34,6.46,86.56
PRT,2020 ,-8.4,10297081.0,-0.01,6.8,76.24
PRT,2021 ,5.2,10325147.0,1.27,6.58,86.17
