Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
QAT,2007 ,-2.78,1231893.0,13.76,0.52,96.11
QAT,2008 ,0.36,1444277.0,15.05,0.31,89.43
QAT,2009 ,0.42,1610274.0,-4.86,0.31,80.14
QAT,2010 ,12.39,1713504.0,-2.43,0.45,86.07
QAT,2011 ,7.68,1804171.0,1.14,0.56,98.72
QAT,2012 ,-0.85,1905660.0,2.32,0.48,105.75
QAT,2013 ,-1.18,2035501.0,3.22,0.28,102.38
QAT,2014 ,-3.18,2214465.0,3.35,0.2,99.03
QAT,2015 ,-3.93,2414573.0,1.81,0.17,93.71
QAT,2016 ,-4.11,2595166.0,2.68,0.15,89.55
QAT,2017 ,-5.73,2711755.0,0.39,0.14,91.49
QAT,2018 ,-0.78,2766732.0,0.26,0.11,91.84
QAT,2019 ,-0.68,2807235.0,-0.67,0.1,90.32
QAT,2020 ,-2.01,2760385.0,-2.54,0.14,90.02
QAT,2021 ,4.32,2688235.0,2.3,0.17,93.05
