Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ROU,2007 ,8360.17,20882982.0,4.84,6.41,63.51
ROU,2008 ,10435.04,20537875.0,7.85,5.79,65.17
ROU,2009 ,8548.12,20367487.0,5.59,6.86,58.47
ROU,2010 ,8397.81,20246871.0,6.09,6.96,69.83
ROU,2011 ,9560.18,20147528.0,5.79,7.18,76.14
ROU,2012 ,8930.73,20058035.0,3.33,6.79,76.54
ROU,2013 ,9497.25,19983693.0,3.98,7.1,81.4
ROU,2014 ,10031.27,19908979.0,1.07,6.8,83.38
ROU,2015 ,8976.88,19815616.0,-0.59,6.81,83.52
ROU,2016 ,9404.34,19702267.0,-1.54,5.9,85.89
ROU,2017 ,10727.95,19588715.0,1.34,4.93,87.16
ROU,2018 ,12494.48,19473970.0,4.63,4.19,86.47
ROU,2019 ,12958.08,19371648.0,3.83,3.91,84.5
ROU,2020 ,13047.43,19265250.0,2.63,5.03,78.06
ROU,2021 ,14858.23,19119880.0,5.05,5.59,87.36
