Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
SAU,2007 ,-2.08,26400068.0,4.17,5.73,94.86
SAU,2008 ,2.23,27437353.0,9.87,5.08,96.1
SAU,2009 ,-5.66,28483797.0,5.06,5.38,84.86
SAU,2010 ,1.72,29411929.0,5.34,5.55,82.55
SAU,2011 ,7.3,30150945.0,5.83,5.77,85.54
SAU,2012 ,3.12,30821543.0,2.87,5.52,83.51
SAU,2013 ,0.54,31482498.0,3.53,5.6,82.71
SAU,2014 ,1.58,32125564.0,2.24,5.72,80.64
SAU,2015 ,2.12,32749848.0,1.21,5.6,71.12
SAU,2016 ,-0.36,33416270.0,2.07,5.6,61.86
SAU,2017 ,-3.0,34193122.0,-0.84,5.89,64.19
SAU,2018 ,0.1,35018133.0,2.46,6.03,64.23
SAU,2019 ,-1.93,35827362.0,-2.09,5.64,62.82
SAU,2020 ,-4.59,35997107.0,3.45,7.45,52.08
SAU,2021 ,3.38,35950396.0,3.06,6.69,59.12
