Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
SMR,2007 ,71970.05,30372.0,2.49,0.0,0.0
SMR,2008 ,77962.14,30700.0,4.29,0.0,0.0
SMR,2009 ,66200.67,31059.0,2.19,0.0,0.0
SMR,2010 ,59517.03,31608.0,2.58,0.0,0.0
SMR,2011 ,55816.36,32495.0,2.89,0.0,0.0
SMR,2012 ,48435.94,33132.0,2.82,0.0,0.0
SMR,2013 ,50438.39,33285.0,1.60,0.0,0.0
SMR,2014 ,50135.48,33389.0,1.11,0.0,0.0
SMR,2015 ,42281.64,33570.0,0.14,0.0,321.36
SMR,2016 ,43399.45,33834.0,0.57,0.0,320.14
SMR,2017 ,44885.79,34056.0,1.05,0.0,313.85
SMR,2018 ,48462.96,34156.0,0.0,0.0,309.48
SMR,2019 ,47287.39,34178.0,0.0,0.0,307.26
SMR,2020 ,45320.20,34007.0,0.0,0.0,304.90
SMR,2021 ,0.0,33745.0,0.0,0.0,0.0
