Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
SEN,2007 ,0.16,11563869.0,5.85,10.07,59.27
SEN,2008 ,1.0,11872929.0,7.35,10.1,62.76
SEN,2009 ,0.04,12195029.0,-2.25,10.19,52.31
SEN,2010 ,0.63,12530121.0,1.23,10.23,52.46
SEN,2011 ,-1.39,12875880.0,3.4,10.36,57.58
SEN,2012 ,1.21,13231833.0,1.42,9.41,61.98
SEN,2013 ,-0.33,13595566.0,0.71,8.59,60.63
SEN,2014 ,3.37,13970308.0,-1.09,7.62,58.44
SEN,2015 ,3.51,14356181.0,0.14,6.76,58.11
SEN,2016 ,3.52,14751356.0,0.84,4.46,54.11
SEN,2017 ,4.51,15157793.0,1.32,4.08,57.71
SEN,2018 ,3.36,15574909.0,0.46,3.57,61.79
SEN,2019 ,1.83,16000781.0,1.76,2.86,64.25
SEN,2020 ,-1.36,16436120.0,2.55,3.51,60.0
SEN,2021 ,3.3,16876720.0,0.0,3.5,63.26
