Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ESP,2007 ,1.7,45226803.0,2.79,8.23,57.75
ESP,2008 ,-0.71,45954106.0,4.08,11.25,55.98
ESP,2009 ,-4.61,46362946.0,-0.29,17.86,46.99
ESP,2010 ,-0.3,46576897.0,1.8,19.86,52.93
ESP,2011 ,-1.17,46742697.0,3.2,21.39,58.79
ESP,2012 ,-3.02,46773055.0,2.45,24.79,60.85
ESP,2013 ,-1.08,46620045.0,1.41,26.09,61.98
ESP,2014 ,1.7,46480882.0,-0.15,24.44,63.84
ESP,2015 ,3.92,46444832.0,-0.5,22.06,64.18
ESP,2016 ,2.95,46484062.0,-0.2,19.64,63.74
ESP,2017 ,2.73,46593236.0,1.96,17.22,66.66
ESP,2018 ,1.84,46797754.0,1.67,15.25,67.57
ESP,2019 ,1.25,47134837.0,0.7,14.1,66.87
ESP,2020 ,-11.76,47365655.0,-0.32,15.53,60.14
ESP,2021 ,5.41,47415750.0,3.09,14.78,68.38
