Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
SWE,2007 ,2.68,9148092.0,2.21,6.16,89.16
SWE,2008 ,-1.22,9219637.0,3.44,6.23,92.56
SWE,2009 ,-5.15,9298515.0,-0.49,8.35,81.51
SWE,2010 ,5.05,9378126.0,1.16,8.61,84.25
SWE,2011 ,2.42,9449213.0,2.96,7.8,85.79
SWE,2012 ,-1.32,9519374.0,0.89,7.98,85.28
SWE,2013 ,0.33,9600379.0,-0.04,8.05,80.82
SWE,2014 ,1.64,9696110.0,-0.18,7.95,82.93
SWE,2015 ,3.39,9799186.0,-0.05,7.43,83.72
SWE,2016 ,0.8,9923085.0,0.98,6.99,82.32
SWE,2017 ,1.2,10057698.0,1.79,6.72,84.93
SWE,2018 ,0.77,10175214.0,1.95,6.36,89.13
SWE,2019 ,0.96,10278887.0,1.78,6.83,91.43
SWE,2020 ,-2.87,10353442.0,0.5,8.29,83.21
SWE,2021 ,4.45,10415811.0,2.16,8.72,86.69
