Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
TUN,2007 ,3677.94,10580395.0,2.97,12.36,104.06
TUN,2008 ,4200.32,10680380.0,4.35,12.44,114.34
TUN,2009 ,4029.39,10784504.0,3.66,13.29,93.02
TUN,2010 ,4241.01,10895063.0,3.34,13.05,100.15
TUN,2011 ,4361.9,11032528.0,3.24,18.33,100.11
TUN,2012 ,4233.89,11174383.0,4.61,17.63,101.55
TUN,2013 ,4308.23,11300284.0,5.32,15.93,98.95
TUN,2014 ,4398.57,11428948.0,4.63,14.26,95.53
TUN,2015 ,3960.98,11557779.0,4.44,15.16,87.25
TUN,2016 ,3796.17,11685667.0,3.63,15.56,87.09
TUN,2017 ,3569.76,11811443.0,5.31,15.33,95.81
TUN,2018 ,3577.12,11933041.0,7.31,15.46,103.87
TUN,2019 ,3477.88,12049314.0,6.72,15.13,102.33
TUN,2020 ,3497.68,12161723.0,5.63,16.37,84.24
TUN,2021 ,3807.14,12262946.0,5.71,16.26,94.35
