Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
TUR,2007 ,3.75,70468869.0,8.76,8.87,47.85
TUR,2008 ,-0.39,71320726.0,10.44,9.71,50.55
TUR,2009 ,-6.02,72225639.0,6.25,12.55,46.79
TUR,2010 ,6.99,73195345.0,8.57,10.66,46.69
TUR,2011 ,9.73,74173854.0,6.47,8.8,53.3
TUR,2012 ,3.25,75277439.0,8.89,8.15,52.83
TUR,2013 ,6.65,76576117.0,7.49,8.73,52.53
TUR,2014 ,2.88,78112073.0,8.85,9.88,53.77
TUR,2015 ,4.04,79646178.0,7.67,10.24,51.09
TUR,2016 ,1.57,81019394.0,7.78,10.84,48.33
TUR,2017 ,6.1,82089826.0,11.14,10.82,55.76
TUR,2018 ,2.09,82809304.0,16.33,10.89,62.55
TUR,2019 ,-0.03,83481684.0,15.18,13.67,62.69
TUR,2020 ,1.15,84135428.0,12.28,13.11,60.96
TUR,2021 ,10.51,84775404.0,19.6,11.98,70.83
