Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ARE,2007 ,-13.92,5872624.0,0.0,2.86,136.8
ARE,2008 ,-13.29,6988685.0,12.25,2.72,148.51
ARE,2009 ,-17.15,7992644.0,1.56,2.67,153.46
ARE,2010 ,-4.26,8481771.0,0.88,2.46,143.88
ARE,2011 ,5.76,8575205.0,0.88,2.28,151.67
ARE,2012 ,3.69,8664969.0,0.66,2.17,159.97
ARE,2013 ,4.01,8751847.0,1.1,2.03,161.1
ARE,2014 ,3.17,8835951.0,2.35,1.9,164.03
ARE,2015 ,5.82,8916899.0,4.07,1.76,169.48
ARE,2016 ,4.65,8994263.0,1.62,1.64,170.9
ARE,2017 ,-0.09,9068296.0,1.97,2.46,172.8
ARE,2018 ,0.52,9140169.0,3.07,2.24,157.92
ARE,2019 ,0.32,9211657.0,-1.93,2.33,167.38
ARE,2020 ,-5.73,9287289.0,-2.08,4.29,166.57
ARE,2021 ,3.05,9365145.0,-0.01,3.11,0.0
