Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
GBR,2007 ,1.77,61322463.0,2.39,5.26,52.83
GBR,2008 ,-0.94,61806995.0,3.52,5.62,56.41
GBR,2009 ,-5.23,62276270.0,1.96,7.54,54.59
GBR,2010 ,1.63,62766365.0,2.49,7.79,58.81
GBR,2011 ,0.28,63258810.0,3.86,8.04,63.16
GBR,2012 ,0.75,63700215.0,2.57,7.88,61.89
GBR,2013 ,1.14,64128273.0,2.29,7.52,61.66
GBR,2014 ,2.44,64602298.0,1.45,6.11,58.86
GBR,2015 ,1.58,65116219.0,0.37,5.3,56.91
GBR,2016 ,1.39,65611593.0,1.01,4.81,59.26
GBR,2017 ,1.75,66058859.0,2.56,4.33,62.8
GBR,2018 ,1.09,66460344.0,2.29,4.0,64.0
GBR,2019 ,1.03,66836327.0,1.74,3.74,64.13
GBR,2020 ,-11.36,67081000.0,0.99,4.47,58.12
GBR,2021 ,7.13,67326569.0,2.52,4.83,56.67
