Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
UKR,2007 ,3197.93,46509355.0,12.84,6.35,88.05
UKR,2008 ,4066.55,46258189.0,25.23,6.36,94.17
UKR,2009 ,2639.39,46053331.0,15.88,8.84,87.48
UKR,2010 ,3078.43,45870741.0,9.37,8.1,95.73
UKR,2011 ,3704.82,45706086.0,7.96,7.85,104.81
UKR,2012 ,4004.8,45593342.0,0.57,7.53,102.62
UKR,2013 ,4187.74,45489648.0,-0.24,7.17,94.0
UKR,2014 ,3104.64,45272155.0,12.07,9.27,100.69
UKR,2015 ,2124.66,45154036.0,48.7,9.14,107.81
UKR,2016 ,2187.73,45004673.0,13.91,9.35,105.52
UKR,2017 ,2638.33,44831135.0,14.44,9.5,104.03
UKR,2018 ,3096.56,44622518.0,10.95,8.8,99.2
UKR,2019 ,3661.46,44386203.0,7.89,8.19,90.51
UKR,2020 ,3751.74,44132049.0,2.73,9.48,79.16
UKR,2021 ,4835.57,43792855.0,9.36,9.83,82.62
