Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ZWE,2007 ,425.04,12450568.0,0.0,4.848,84.17
ZWE,2008 ,351.84,12550347.0,0.0,5.075,109.52
ZWE,2009 ,762.3,12679810.0,0.0,5.077,61.78
ZWE,2010 ,937.84,12839771.0,3.02,5.19,83.12
ZWE,2011 ,1082.62,13025785.0,3.47,5.37,89.47
ZWE,2012 ,1290.19,13265331.0,3.73,5.14,74.16
ZWE,2013 ,1408.37,13555422.0,1.63,4.99,58.66
ZWE,2014 ,1407.03,13855753.0,-0.2,4.77,54.67
ZWE,2015 ,1410.33,14154937.0,-2.43,5.28,56.75
ZWE,2016 ,1421.79,14452704.0,-1.54,5.8,51.22
ZWE,2017 ,1192.11,14751101.0,0.89,6.28,50.03
ZWE,2018 ,2269.18,15052184.0,10.62,6.78,54.55
ZWE,2019 ,1421.87,15354608.0,255.3,7.37,52.69
ZWE,2020 ,1372.7,15669666.0,557.2,7.9,54.65
ZWE,2021 ,1773.92,15993524.0,98.55,8.07,56.31
