Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ARG,2007 ,7210.59,39876111.0,0.0,8.47,40.94
ARG,2008 ,8977.515,40273769.0,0.0,7.84,40.40
ARG,2009 ,8184.39,40684338.0,0.0,8.65,34.05
ARG,2010 ,10385.96,40788453.0,0.0,7.71,34.97
ARG,2011 ,12848.86,41261490.0,0.0,7.18,35.20
ARG,2012 ,13082.66,41733271.0,0.0,7.22,30.52
ARG,2013 ,13080.25,42202935.0,0.0,7.1,29.33
ARG,2014 ,12334.79,42669500.0,0.0,7.27,28.40
ARG,2015 ,13789.06,43131966.0,0.0,7.524,22.48
ARG,2016 ,12790.24,43590368.0,0.0,8.109,26.09
ARG,2017 ,14613.04,44044811.0,0.0,8.35,25.28
ARG,2018 ,11795.16,44494502.0,0.0,9.22,30.76
ARG,2019 ,9963.67,44938712.0,0.0,9.84,32.63
ARG,2020 ,8496.42,45376763.0,0.0,11.46,30.22
ARG,2021 ,10636.13,45808747.0,0.0,8.74,32.98
