Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ARM,2007 ,3064.28,3004393.0,4.41,9.81,56.98
ARM,2008 ,3908.95,2983421.0,8.95,10.0,54.54
ARM,2009 ,2917.37,2964296.0,3.41,9.89,57.27
ARM,2010 ,3143.03,2946293.0,8.18,10.54,64.64
ARM,2011 ,3462.68,2928976.0,7.65,10.92,69.44
ARM,2012 ,3643.72,2914421.0,2.56,11.3,75.96
ARM,2013 ,3833.16,2901385.0,5.79,11.53,77.56
ARM,2014 ,4017.23,2889930.0,2.98,11.86,75.78
ARM,2015 ,3666.14,2878595.0,3.73,12.18,71.68
ARM,2016 ,3679.95,2865835.0,-1.4,12.43,76.08
ARM,2017 ,4042.0,2851923.0,0.97,12.94,87.2
ARM,2018 ,4391.92,2836557.0,2.52,13.21,92.47
ARM,2019 ,4828.51,2820602.0,1.44,12.2,96.11
ARM,2020 ,4505.87,2805608.0,1.21,12.18,69.49
ARM,2021 ,4966.51,2790974.0,7.18,12.73,79.17
