Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
AZE,2007 ,3851.44,8581300.0,16.7,6.33,96.64
AZE,2008 ,5574.6,8763400.0,20.85,5.86,89.24
AZE,2009 ,4950.29,8947243.0,1.46,5.74,74.74
AZE,2010 ,5843.53,9054332.0,5.73,5.63,74.99
AZE,2011 ,7189.69,9173082.0,7.86,5.42,80.51
AZE,2012 ,7496.29,9295784.0,1.07,5.19,78.26
AZE,2013 ,7875.76,9416801.0,2.42,4.97,74.68
AZE,2014 ,7891.31,9535079.0,1.37,4.91,69.48
AZE,2015 ,5500.31,9649341.0,4.03,4.96,72.6
AZE,2016 ,3880.74,9757812.0,12.44,5.0,90.08
AZE,2017 ,4147.09,9854033.0,12.94,4.96,90.4
AZE,2018 ,4739.84,9939771.0,2.27,4.94,91.67
AZE,2019 ,4805.75,10024283.0,2.61,4.85,85.82
AZE,2020 ,4229.91,10093121.0,2.76,7.16,72.02
AZE,2021 ,5388.0,10137750.0,6.65,5.95,76.57
