Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BGD,2007 ,552.34,144135934.0,9.11,4.09,39.94
BGD,2008 ,630.11,145421318.0,8.9,4.55,42.62
BGD,2009 ,698.52,146706810.0,5.42,5.0,40.09
BGD,2010 ,776.86,148391139.0,8.13,3.38,37.8
BGD,2011 ,856.38,150211005.0,11.4,3.75,47.42
BGD,2012 ,876.82,152090649.0,6.22,4.1,48.11
BGD,2013 ,973.77,154030139.0,7.53,4.43,46.3
BGD,2014 ,1108.52,155961299.0,6.99,4.39,44.51
BGD,2015 ,1236.01,157830000.0,6.19,4.37,42.09
BGD,2016 ,1659.96,159784568.0,5.51,4.35,31.33
BGD,2017 ,1815.61,161793964.0,5.7,4.37,30.0
BGD,2018 ,1963.41,163683958.0,5.54,4.38,32.51
BGD,2019 ,2122.08,165516222.0,5.59,4.38,31.58
BGD,2020 ,2233.31,167420951.0,5.69,5.21,26.27
BGD,2021 ,2457.92,169356251.0,5.55,5.1,27.72
