Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BLR,2007 ,4735.66,9560953.0,8.43,7.66,128.15
BLR,2008 ,6377.37,9527985.0,14.84,7.03,129.6
BLR,2009 ,5352.58,9504583.0,12.95,6.1,108.64
BLR,2010 ,6033.69,9483836.0,7.74,6.26,115.92
BLR,2011 ,6527.17,9461643.0,53.23,6.17,157.97
BLR,2012 ,6953.13,9446836.0,59.22,6.05,153.09
BLR,2013 ,7998.13,9443211.0,18.31,6.01,119.82
BLR,2014 ,8341.4,9448515.0,18.12,6.0,110.65
BLR,2015 ,5967.05,9461076.0,13.53,5.84,115.91
BLR,2016 ,5039.68,9469379.0,11.84,5.84,125.21
BLR,2017 ,5785.67,9458989.0,6.03,5.65,133.37
BLR,2018 ,6360.06,9438785.0,4.87,4.76,139.39
BLR,2019 ,6837.72,9419758.0,5.6,4.16,130.85
BLR,2020 ,6542.8,9379952.0,5.55,4.05,118.93
BLR,2021 ,7302.26,9340314.0,9.46,3.9,138.74
