Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
BRA,2007 ,7323.03,190779453.0,3.64,9.28,25.29
BRA,2008 ,8801.6,192672317.0,5.68,8.27,27.26
BRA,2009 ,8570.02,194517549.0,4.89,9.42,22.11
BRA,2010 ,11249.46,196353492.0,5.04,8.03,22.77
BRA,2011 ,13200.79,198185302.0,6.64,7.58,23.93
BRA,2012 ,12327.32,199977707.0,5.4,7.25,25.11
BRA,2013 ,12258.5,201721767.0,6.2,7.07,25.79
BRA,2014 ,12071.16,203459650.0,6.33,6.76,24.69
BRA,2015 ,8783.23,205188205.0,9.03,8.56,26.95
BRA,2016 ,8680.77,206859578.0,8.74,11.74,24.53
BRA,2017 ,9896.68,208504960.0,3.45,12.93,24.32
BRA,2018 ,9121.08,210166592.0,3.66,12.46,28.88
BRA,2019 ,8845.26,211782878.0,3.73,12.05,28.89
BRA,2020 ,6794.49,213196304.0,3.21,13.93,32.89
BRA,2021 ,7507.16,214326223.0,8.3,13.34,39.18
