Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
TCD,2007 ,806.71,10722731.0,-8.97,0.92,84.73
TCD,2008 ,936.49,11098664.0,10.3,0.94,80.29
TCD,2009 ,808.16,11496128.0,9.95,0.96,77.11
TCD,2010 ,896.88,11894727.0,-2.08,0.95,80.39
TCD,2011 ,988.19,12317730.0,2.03,1.0,80.68
TCD,2012 ,969.62,12754906.0,7.52,1.0,80.58
TCD,2013 ,980.08,13216766.0,0.22,1.03,72.65
TCD,2014 ,1017.79,13697126.0,1.68,1.04,76.63
TCD,2015 ,774.41,14140274.0,4.38,1.07,66.56
TCD,2016 ,691.98,14592585.0,-0.79,1.12,63.3
TCD,2017 ,662.9,15085884.0,-1.54,1.13,73.58
TCD,2018 ,720.27,15604210.0,4.27,1.13,74.2
TCD,2019 ,701.62,16126866.0,-0.97,1.12,74.57
TCD,2020 ,643.77,16644701.0,4.46,1.64,68.73
TCD,2021 ,685.69,17179740.0,-0.77,1.54,82.98
