Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
CHL,2007 ,10461.37,16495538.0,4.41,8.43,76.98
CHL,2008 ,10783.17,16661462.0,8.72,9.29,80.68
CHL,2009 ,10182.86,16833447.0,0.35,11.31,66.69
CHL,2010 ,12767.78,17004162.0,1.41,8.41,69.72
CHL,2011 ,14628.57,17173573.0,3.34,7.32,72.48
CHL,2012 ,15406.49,17341771.0,3.01,6.64,68.16
CHL,2013 ,15833.28,17509925.0,1.79,6.2,65.14
CHL,2014 ,14666.34,17687108.0,4.72,6.65,65.63
CHL,2015 ,13569.95,17870124.0,4.35,6.49,59.35
CHL,2016 ,13785.69,18083879.0,3.79,6.73,56.06
CHL,2017 ,15045.53,18368577.0,2.18,6.95,56.03
CHL,2018 ,15795.71,18701450.0,2.43,7.21,58.18
CHL,2019 ,14631.95,19039485.0,2.56,7.27,57.53
CHL,2020 ,13094.46,19300315.0,3.05,11.14,58.5
CHL,2021 ,16265.1,19493184.0,4.52,9.35,64.43
