Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
HRV,2007 ,14069.35,4310217.0,2.9,9.91,83.42
HRV,2008 ,16461.29,4309705.0,6.08,8.53,82.24
HRV,2009 ,14708.88,4305181.0,2.38,9.2,70.13
HRV,2010 ,14124.81,4295427.0,1.03,11.62,72.98
HRV,2011 ,14812.87,4280622.0,2.27,13.68,78.14
HRV,2012 ,13443.14,4267558.0,3.41,15.93,79.46
HRV,2013 ,13871.33,4255689.0,2.22,17.25,81.51
HRV,2014 ,13784.48,4238389.0,-0.22,17.29,85.77
HRV,2015 ,11952.31,4203604.0,-0.46,16.18,91.16
HRV,2016 ,12552.26,4174349.0,-1.13,13.1,92.63
HRV,2017 ,13655.82,4124531.0,1.13,11.21,97.63
HRV,2018 ,15244.43,4087843.0,1.5,8.43,99.66
HRV,2019 ,15331.88,4065253.0,0.77,6.62,101.6
HRV,2020 ,14198.75,4047680.0,0.15,7.51,89.99
HRV,2021 ,17685.33,3899000.0,2.55,7.61,104.03
