Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
CUB,2007 ,4814.85,11269887,0.0,1.79,38.0
CUB,2008 ,4992.82,11276609,0.0,1.58,45.0
CUB,2009 ,5094.43,11283185,0.0,1.67,33.0
CUB,2010 ,5275.53,11290417,0.0,2.5,40.29
CUB,2011 ,6106.00,0.0,3.18,46.96,0.0
CUB,2012 ,6467.33,11309290,0.0,3.46,45.86
CUB,2013 ,6814.24,11321579,0.0,3.29,44.32
CUB,2014 ,7117.52,11332026,0.0,2.7,39.27
CUB,2015 ,7683.75,11339894,0.0,2.4,31.61
CUB,2016 ,8055.88,11342012,0.0,2,27.27
CUB,2017 ,8543.36,11336405,0.0,1.7,26.22
CUB,2018 ,8831.90,11328244,0.0,1.7,27.08
CUB,2019 ,9139.41,11316697,0.0,1.2,22.82
CUB,2020 ,9499.59,11300698,0.0,1.4,15.68
CUB,2021 ,0.0,11256372,0.0,1.473,80.02
