Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
CYP,2007 ,31244.93,1073873.0,2.37,3.92,111.27
CYP,2008 ,35397.36,1092390.0,4.67,3.65,112.93
CYP,2009 ,32109.24,1110974.0,0.33,5.36,102.79
CYP,2010 ,31105.4,1129686.0,2.43,6.26,108.9
CYP,2011 ,32486.43,1145086.0,3.29,7.86,110.62
CYP,2012 ,28993.35,1156556.0,2.39,11.8,112.34
CYP,2013 ,27799.12,1166968.0,-0.4,15.87,120.93
CYP,2014 ,27245.37,1176995.0,-1.35,16.09,130.84
CYP,2015 ,23487.12,1187280.0,-2.1,14.91,137.28
CYP,2016 ,24715.73,1197881.0,-1.43,12.95,139.02
CYP,2017 ,26697.17,1208523.0,0.53,11.05,148.01
CYP,2018 ,29418.94,1218831.0,1.44,8.37,148.53
CYP,2019 ,29417.14,1228836.0,0.25,7.07,151.96
CYP,2020 ,28036.19,1237537.0,-0.64,7.59,164.16
CYP,2021 ,31551.82,1244188.0,2.45,7.46,170.31
