Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ISR,2007 ,25633.64,7180100.0,0.46,9.38,79.61
ISR,2008 ,30173.36,7308800.0,4.56,7.7,76.1
ISR,2009 ,28317.04,7485600.0,3.34,9.53,62.6
ISR,2010 ,31266.61,7623600.0,2.72,8.48,66.44
ISR,2011 ,34354.72,7765800.0,3.48,7.14,69.66
ISR,2012 ,33156.23,7910500.0,1.69,6.86,70.74
ISR,2013 ,36941.84,8059500.0,1.58,6.21,64.64
ISR,2014 ,38259.68,8215700.0,0.49,5.89,62.16
ISR,2015 ,36206.52,8380100.0,-0.63,5.25,59.21
ISR,2016 ,37690.47,8546000.0,-0.55,4.8,58.04
ISR,2017 ,41114.78,8713300.0,0.24,4.22,56.56
ISR,2018 ,42406.85,8882800.0,0.82,4.0,58.91
ISR,2019 ,44452.23,9054000.0,0.84,3.8,56.35
ISR,2020 ,44846.79,9215100.0,-0.59,4.33,50.88
ISR,2021 ,52170.71,9364000.0,1.49,4.32,54.96
