Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
KEN,2007 ,840.19,38036793.0,9.76,2.92,53.89
KEN,2008 ,916.0,39186895.0,26.24,2.98,57.58
KEN,2009 ,1049.12,40364444.0,9.23,2.92,45.95
KEN,2010 ,1093.64,41517895.0,3.96,2.85,50.39
KEN,2011 ,1099.32,42635144.0,14.02,2.86,58.4
KEN,2012 ,1289.78,43725806.0,9.38,2.84,51.62
KEN,2013 ,1376.83,44792368.0,5.72,2.83,47.46
KEN,2014 ,1489.92,45831863.0,6.88,2.8,46.17
KEN,2015 ,1496.65,46851488.0,6.58,2.77,40.33
KEN,2016 ,1562.08,47894670.0,6.3,2.76,34.87
KEN,2017 ,1675.97,48948137.0,8.01,3.52,36.0
KEN,2018 ,1845.78,49953304.0,4.69,4.24,34.41
KEN,2019 ,1970.11,50951450.0,5.24,5.01,31.76
KEN,2020 ,1936.42,51985780.0,5.4,5.62,27.23
KEN,2021 ,2081.8,53005614.0,6.11,5.64,30.67
