Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
KGZ,2007 ,721.77,5268400.0,10.23,2.68,137.06
KGZ,2008 ,966.39,5318700.0,24.52,2.77,146.11
KGZ,2009 ,871.22,5383300.0,6.84,2.79,133.38
KGZ,2010 ,880.04,5447900.0,7.97,2.83,133.23
KGZ,2011 ,1123.88,5514600.0,16.64,3.02,136.18
KGZ,2012 ,1177.97,5607200.0,2.77,3.03,139.68
KGZ,2013 ,1282.44,5719600.0,6.61,3.3,134.03
KGZ,2014 ,1279.77,5835500.0,7.53,3.28,125.13
KGZ,2015 ,1121.08,5956900.0,6.5,3.38,110.96
KGZ,2016 ,1120.67,6079500.0,0.39,3.48,105.82
KGZ,2017 ,1242.77,6198200.0,3.18,3.59,100.62
KGZ,2018 ,1308.14,6322800.0,1.54,3.67,98.88
KGZ,2019 ,1374.03,6456200.0,1.13,4.25,99.37
KGZ,2020 ,1182.52,6579900.0,6.33,4.63,83.47
KGZ,2021 ,1276.7,6691800.0,11.91,4.77,108.39
