Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
MLT,2007 ,19485.95,406724.0,1.25,6.47,262.32
MLT,2008 ,22205.28,409379.0,4.26,5.98,298.82
MLT,2009 ,21083.13,412477.0,2.08,6.89,294.95
MLT,2010 ,21799.16,414508.0,1.52,6.85,301.84
MLT,2011 ,23155.56,416268.0,2.96,6.38,319.7
MLT,2012 ,22527.76,420028.0,2.38,6.2,322.67
MLT,2013 ,24770.93,425967.0,1.18,6.11,304.33
MLT,2014 ,26754.26,434558.0,0.31,5.73,287.64
MLT,2015 ,24921.58,445053.0,1.1,5.38,299.47
MLT,2016 ,25624.46,455356.0,0.64,4.69,303.01
MLT,2017 ,28823.53,467999.0,1.36,4.0,290.77
MLT,2018 ,31567.94,484630.0,1.16,3.66,273.0
MLT,2019 ,31198.24,504062.0,1.64,3.62,275.29
MLT,2020 ,28977.57,515332.0,0.64,4.35,291.5
MLT,2021 ,33486.67,518536.0,1.5,3.53,287.67
