Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
NPL,2007 ,386.53,26713655.0,2.27,10.51,44.58
NPL,2008 ,466.69,26881544.0,9.91,10.59,46.04
NPL,2009 ,475.64,27026941.0,11.09,10.54,47.08
NPL,2010 ,589.17,27161567.0,9.33,10.55,45.98
NPL,2011 ,791.23,27266399.0,9.23,10.5,36.3
NPL,2012 ,794.09,27330694.0,9.46,10.53,37.92
NPL,2013 ,809.38,27381555.0,9.04,10.5,41.87
NPL,2014 ,827.74,27462106.0,8.36,10.58,45.98
NPL,2015 ,882.31,27610325.0,7.87,10.51,46.67
NPL,2016 ,880.22,27861186.0,8.79,10.4,42.12
NPL,2017 ,1027.97,28183426.0,3.63,10.66,44.64
NPL,2018 ,1161.53,28506712.0,4.06,10.62,48.45
NPL,2019 ,1185.68,28832496.0,5.57,10.6,49.25
NPL,2020 ,1139.19,29348627.0,5.05,13.08,40.92
NPL,2021 ,1208.22,30034989.0,4.09,12.22,43.81
