Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
OMN,2007 ,16151.28,2605700.0,5.83,4.19,108.87
OMN,2008 ,22974.28,2651028.0,12.38,4.14,108.61
OMN,2009 ,17937.98,2697537.0,3.47,4.06,105.01
OMN,2010 ,22552.2,2881914.0,3.26,4.01,96.39
OMN,2011 ,24166.1,3206870.0,4.04,3.86,101.64
OMN,2012 ,24722.64,3535579.0,2.95,3.66,102.07
OMN,2013 ,23563.94,3816680.0,1.05,3.6,112.54
OMN,2014 ,23121.21,4009267.0,1.02,3.55,102.28
OMN,2015 ,18777.43,4191776.0,0.07,3.38,96.38
OMN,2016 ,17082.21,4398070.0,1.11,3.27,82.86
OMN,2017 ,17802.58,4541854.0,1.6,2.57,88.95
OMN,2018 ,19887.57,4601157.0,0.88,1.8,89.28
OMN,2019 ,19132.15,4602768.0,0.13,1.85,86.48
OMN,2020 ,16707.62,4543399.0,-0.9,2.94,91.88
OMN,2021 ,19509.47,4520471.0,1.55,2.51,93.92
