Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
PAK,2007 ,837.63,181924521.0,7.6,0.4,32.99
PAK,2008 ,914.73,185931955.0,20.29,0.42,35.59
PAK,2009 ,884.44,190123222.0,13.65,0.54,32.07
PAK,2010 ,911.09,194454498.0,12.94,0.65,32.87
PAK,2011 ,1075.45,198602738.0,11.92,0.8,32.94
PAK,2012 ,1109.68,202205861.0,9.68,1.86,32.81
PAK,2013 ,1126.04,205337562.0,7.69,2.95,33.33
PAK,2014 ,1173.39,208251628.0,7.19,1.83,30.9
PAK,2015 ,1282.44,210969298.0,2.53,3.57,27.65
PAK,2016 ,1468.82,213524840.0,3.77,3.76,24.7
PAK,2017 ,1567.64,216379655.0,4.09,3.91,25.47
PAK,2018 ,1620.74,219731479.0,5.08,4.08,27.63
PAK,2019 ,1437.17,223293280.0,10.58,4.83,28.91
PAK,2020 ,1322.32,227196741.0,9.74,6.55,26.72
PAK,2021 ,1505.01,231402117.0,9.5,6.34,27.05
