Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
PAN,2007 ,6205.82,3431614.0,4.17,5.84,149.57
PAN,2008 ,7197.11,3495276.0,8.76,5.91,166.7
PAN,2009 ,7618.44,3559343.0,2.41,6.01,138.98
PAN,2010 ,8124.56,3623617.0,3.49,5.88,148.28
PAN,2011 ,9403.44,3688674.0,5.88,4.05,162.49
PAN,2012 ,10767.29,3754862.0,5.7,3.72,158.06
PAN,2013 ,11932.29,3821556.0,4.03,3.7,137.63
PAN,2014 ,12837.25,3888793.0,2.63,4.42,119.09
PAN,2015 ,13669.56,3957099.0,0.14,4.37,99.94
PAN,2016 ,14382.23,4026336.0,0.74,4.76,87.41
PAN,2017 ,15185.97,4096063.0,0.88,5.39,87.43
PAN,2018 ,15588.34,4165255.0,0.76,5.22,89.99
PAN,2019 ,15826.08,4232532.0,-0.36,6.33,84.98
PAN,2020 ,12569.17,4294396.0,-1.55,14.11,74.08
PAN,2021 ,14617.6,4351267.0,1.63,10.3,92.7
