Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
PHL,2007 ,1741.6,89561377.0,2.9,3.43,73.64
PHL,2008 ,1990.36,91252326.0,8.26,3.72,67.68
PHL,2009 ,1893.28,92946951.0,4.22,3.86,60.89
PHL,2010 ,2201.78,94636700.0,3.79,3.61,66.1
PHL,2011 ,2431.2,96337913.0,4.72,3.59,60.8
PHL,2012 ,2671.78,98032317.0,3.03,3.5,57.84
PHL,2013 ,2847.57,99700107.0,2.58,3.5,55.82
PHL,2014 ,2935.93,101325201.0,3.6,3.6,57.47
PHL,2015 ,2974.3,103031365.0,0.67,3.07,59.14
PHL,2016 ,3038.15,104875266.0,1.25,2.7,61.78
PHL,2017 ,3077.44,106738501.0,2.85,2.55,68.17
PHL,2018 ,3194.67,108568836.0,5.31,2.34,72.16
PHL,2019 ,3413.85,110380804.0,2.39,2.24,68.84
PHL,2020 ,3224.42,112190977.0,2.39,2.52,58.17
PHL,2021 ,3460.53,113880328.0,3.93,2.63,63.5
