Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
RUS,2007 ,8.69,142805114.0,9.01,6.0,51.71
RUS,2008 ,5.25,142742366.0,14.11,6.21,53.38
RUS,2009 ,-7.83,142785349.0,11.65,8.3,48.44
RUS,2010 ,4.45,142849468.0,6.85,7.37,50.36
RUS,2011 ,4.22,142960908.0,8.44,6.54,48.04
RUS,2012 ,3.85,143201721.0,5.07,5.44,47.15
RUS,2013 ,1.54,143506995.0,6.75,5.46,46.29
RUS,2014 ,-1.05,143819667.0,7.82,5.16,47.8
RUS,2015 ,-2.18,144096870.0,15.53,5.57,49.36
RUS,2016 ,0.01,144342397.0,7.04,5.56,46.52
RUS,2017 ,1.71,144496739.0,3.68,5.21,46.88
RUS,2018 ,2.82,144477859.0,2.88,4.85,51.58
RUS,2019 ,2.24,144406261.0,4.47,4.5,49.23
RUS,2020 ,-2.46,144073139.0,3.38,5.59,46.03
RUS,2021 ,5.18,143449286.0,6.69,4.72,52.17
