Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
PRY,2007 ,3194.26,5590145.0,8.13,4.71,79.0
PRY,2008 ,4360.43,5645148.0,10.15,4.42,80.78
PRY,2009 ,3920.19,5702574.0,2.59,5.46,70.84
PRY,2010 ,4725.73,5768613.0,4.65,4.57,81.26
PRY,2011 ,5776.28,5843939.0,8.25,4.67,78.49
PRY,2012 ,5617.1,5923322.0,3.68,4.09,74.76
PRY,2013 ,6410.81,6005652.0,2.68,4.38,73.37
PRY,2014 ,6629.42,6090721.0,5.03,5.03,69.08
PRY,2015 ,5861.4,6177950.0,3.13,4.56,66.94
PRY,2016 ,5759.04,6266615.0,4.09,5.25,67.79
PRY,2017 ,6136.06,6355404.0,3.6,4.61,71.48
PRY,2018 ,6242.96,6443328.0,3.98,6.22,72.53
PRY,2019 ,5807.84,6530026.0,2.76,6.59,71.33
PRY,2020 ,5353.35,6618695.0,1.77,7.55,63.09
PRY,2021 ,5891.5,6703799.0,4.79,7.31,70.8
