Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
SYR,2007 ,-0.81,20703005.0,3.91,8.42,76.38
SYR,2008 ,0.73,21474059.0,15.75,10.94,74.23
SYR,2009 ,4.2,21827220.0,2.92,8.14,59.94
SYR,2010 ,2.79,22337563.0,4.4,8.61,64.01
SYR,2011 ,1.07,22730733.0,4.75,8.63,50.7
SYR,2012 ,-25.93,22605577.0,36.7,8.86,35.37
SYR,2013 ,-22.5,21495821.0,0.0,8.86,44.71
SYR,2014 ,-3.95,20072232.0,0.0,8.74,54.26
SYR,2015 ,0.15,19205178.0,0.0,8.72,51.09
SYR,2016 ,-5.22,18964252.0,0.0,8.76,67.11
SYR,2017 ,-0.82,18983373.0,0.0,8.75,61.05
SYR,2018 ,-0.44,19333463.0,0.0,8.75,50.66
SYR,2019 ,-2.63,20098251.0,0.0,8.74,42.0
SYR,2020 ,-6.99,20772595.0,0.0,10.01,48.39
SYR,2021 ,0.0,21324367.0,0.0,9.82,0.0
