Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
TZA,2007 ,539.12,41716497.0,7.03,3.02,48.06
TZA,2008 ,671.57,42870884.0,10.28,2.77,49.03
TZA,2009 ,681.24,43957933.0,12.14,2.5,43.53
TZA,2010 ,730.81,45110527.0,6.2,2.99,47.64
TZA,2011 ,768.93,46416031.0,12.69,3.47,56.17
TZA,2012 ,854.54,47786137.0,16.0,3.26,54.37
TZA,2013 ,955.22,49253643.0,7.87,2.93,48.63
TZA,2014 ,1012.77,50814552.0,6.13,2.12,45.36
TZA,2015 ,928.81,52542823.0,5.59,2.14,40.76
TZA,2016 ,942.47,54401802.0,5.17,2.15,35.42
TZA,2017 ,976.21,56267032.0,5.32,2.17,32.24
TZA,2018 ,1010.94,58090443.0,3.49,2.2,32.64
TZA,2019 ,1052.02,59872579.0,3.46,2.21,32.96
TZA,2020 ,1042.1,61704518.0,3.29,2.78,29.6
TZA,2021 ,1099.29,63588334.0,3.69,2.74,31.38
