Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
USA,2007 ,1.04,301231207.0,2.85,4.62,28.01
USA,2008 ,-0.82,304093966.0,3.84,5.78,29.87
USA,2009 ,-3.45,306771529.0,-0.36,9.25,24.76
USA,2010 ,1.86,309327143.0,1.64,9.63,28.22
USA,2011 ,0.81,311583481.0,3.16,8.95,30.84
USA,2012 ,1.53,313877662.0,2.07,8.07,30.68
USA,2013 ,1.14,316059947.0,1.46,7.37,30.0
USA,2014 ,1.54,318386329.0,1.62,6.17,30.0
USA,2015 ,1.95,320738994.0,0.12,5.28,27.81
USA,2016 ,0.93,323071755.0,1.26,4.87,26.59
USA,2017 ,1.6,325122128.0,2.13,4.36,27.28
USA,2018 ,2.4,326838199.0,2.44,3.9,27.61
USA,2019 ,1.83,328329953.0,1.81,3.67,26.45
USA,2020 ,-3.7,331501080.0,1.23,8.05,23.38
USA,2021 ,5.82,331893745.0,4.7,5.35,25.48
