Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
UGA,2007 ,401.71,29629804.0,6.14,2.72,46.78
UGA,2008 ,473.3,30509862.0,12.05,3.14,56.26
UGA,2009 ,799.93,31412520.0,13.02,3.6,47.06
UGA,2010 ,824.74,32341728.0,3.98,3.59,38.27
UGA,2011 ,837.1,33295738.0,16.56,3.49,39.76
UGA,2012 ,796.71,34273295.0,12.68,3.55,43.5
UGA,2013 ,819.76,35273570.0,4.91,1.91,43.11
UGA,2014 ,897.51,36336539.0,3.08,2.32,36.01
UGA,2015 ,864.18,37477356.0,5.59,2.75,37.69
UGA,2016 ,753.68,38748299.0,5.71,3.18,31.21
UGA,2017 ,766.18,40127085.0,5.21,3.64,36.84
UGA,2018 ,793.13,41515395.0,2.62,3.57,36.64
UGA,2019 ,823.14,42949080.0,2.87,3.55,39.36
UGA,2020 ,846.77,44404611.0,3.31,4.51,37.0
UGA,2021 ,883.89,45853778.0,2.2,4.3,41.71
