Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
UZB,2007 ,830.41,26868000.0,0.0,4.99,74.41
UZB,2008 ,1082.29,27302800.0,0.0,4.89,79.74
UZB,2009 ,1213.27,27767400.0,0.0,5.04,68.67
UZB,2010 ,1742.35,28562400.0,0.0,5.36,49.26
UZB,2011 ,2051.13,29339400.0,13.78,4.96,49.64
UZB,2012 ,2267.62,29774500.0,13.21,4.87,44.23
UZB,2013 ,2419.72,30243200.0,11.84,4.86,42.37
UZB,2014 ,2628.46,30757700.0,9.28,5.09,36.36
UZB,2015 ,2753.97,31298900.0,8.75,5.15,30.75
UZB,2016 ,2704.68,31847900.0,8.13,5.16,29.19
UZB,2017 ,1916.76,32388600.0,13.88,5.83,47.78
UZB,2018 ,1597.07,32956100.0,17.52,5.86,71.53
UZB,2019 ,1784.01,33580350.0,14.53,5.86,72.86
UZB,2020 ,1749.66,34232050.0,12.87,5.29,62.03
UZB,2021 ,1983.06,34915100.0,10.85,6.02,63.88
